id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,km_class
0,Royal Enfield Classic 350,175000.0,2019,Individual,1st owner,350,,1
1,Honda Dio,45000.0,2017,Individual,1st owner,5650,,2
2,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,12000,148114.0,3
3,Yamaha Fazer FI V 2.0 [2016-2018],65000.0,2015,Individual,1st owner,23000,89643.0,5
4,Yamaha SZ [2013-2014],20000.0,2011,Individual,2nd owner,21000,,5
5,Honda CB Twister,18000.0,2010,Individual,1st owner,60000,53857.0,12
6,Honda CB Hornet 160R,78500.0,2018,Individual,1st owner,17000,87719.0,4
7,Royal Enfield Bullet 350 [2007-2011],180000.0,2008,Individual,2nd owner,39000,,8
8,Hero Honda CBZ extreme,30000.0,2010,Individual,1st owner,32000,,7
9,Bajaj Discover 125,50000.0,2016,Individual,1st owner,42000,60122.0,9
10,Yamaha FZ16,35000.0,2015,Individual,1st owner,32000,78712.0,7
11,Honda Navi,28000.0,2016,Individual,2nd owner,10000,47255.0,2
12,Bajaj Avenger Street 220,80000.0,2018,Individual,1st owner,21178,95955.0,5
13,Yamaha YZF R3,365000.0,2019,Individual,1st owner,1127,351680.0,1
14,Jawa 42,185000.0,2020,Individual,1st owner,1700,,1
15,Suzuki Access 125 [2007-2016],25000.0,2012,Individual,1st owner,55000,58314.0,11
16,Hero Honda Glamour,25000.0,2006,Individual,1st owner,27000,,6
17,Yamaha YZF R15 S,40000.0,2010,Individual,2nd owner,45000,117926.0,9
18,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,23000,148114.0,5
19,Yamaha FZ25,120000.0,2018,Individual,1st owner,39000,132680.0,8
20,Hero Passion Pro 110,15000.0,2008,Individual,1st owner,60000,,12
21,Honda Navi [2016-2017],26000.0,2016,Individual,1st owner,17450,44389.0,4
22,Honda Activa i,32000.0,2013,Individual,2nd owner,20696,53900.0,5
23,Jawa Standard,180000.0,2019,Individual,1st owner,2000,,1
24,Royal Enfield Thunderbird 350,110000.0,2016,Individual,1st owner,20000,,4
25,Honda Dream Yuga,25000.0,2012,Individual,1st owner,35000,56147.0,7
26,TVS Apache RTR 160 4V,80000.0,2018,Individual,1st owner,15210,,4
27,Honda Navi [2016-2017],42000.0,2017,Individual,1st owner,24000,44389.0,5
28,Yamaha Fazer [2009-2016],40000.0,2013,Individual,3rd owner,35000,84751.0,7
29,Hero Honda Splendor NXG,21000.0,2009,Individual,1st owner,10000,,2
30,Hero Glamour 125,55000.0,2017,Individual,1st owner,2500,61600.0,1
31,Yamaha FZ S [2012-2016],38000.0,2013,Individual,1st owner,75000,79432.0,15
32,Hero Xtreme Sports,43000.0,2016,Individual,2nd owner,50000,78350.0,10
33,Honda X-Blade,65000.0,2018,Individual,1st owner,27000,,6
34,Honda CB Shine SP,62000.0,2019,Individual,1st owner,10000,71049.0,2
35,Honda Activa 5G,60000.0,2018,Individual,1st owner,6502,57557.0,2
36,Hero Glamour 125,45000.0,2018,Individual,1st owner,21000,61600.0,5
37,Honda CBR-250R,120000.0,2016,Individual,1st owner,16000,202310.0,4
38,Hero Honda Passion PRO [2012],30000.0,2011,Individual,1st owner,42000,,9
39,Royal Enfield Thunderbird 350,90000.0,2015,Individual,3rd owner,13000,,3
40,Bajaj Dominar 400,125000.0,2017,Individual,1st owner,12800,,3
41,Hero Glamour FI,50000.0,2018,Individual,1st owner,20000,71150.0,4
42,KTM 390 Duke,175000.0,2017,Individual,1st owner,4600,,1
43,Hero Passion XPro,28000.0,2012,Individual,1st owner,81000,56750.0,17
44,Yamaha FZ S V 2.0,85000.0,2018,Individual,1st owner,8000,84042.0,2
45,Hero Achiever 150,29900.0,2016,Individual,1st owner,55000,69750.0,11
46,Bajaj Discover 125,25000.0,2011,Individual,1st owner,57000,60122.0,12
47,Yamaha FZ16,30000.0,2009,Individual,2nd owner,26000,78712.0,6
48,Yamaha Saluto,60000.0,2018,Individual,1st owner,13000,59844.0,3
49,Yamaha FZ16,35000.0,2012,Individual,2nd owner,29000,78712.0,6
50,Bajaj Discover 100,25000.0,2010,Individual,1st owner,43000,42859.0,9
51,Honda CB Trigger,30000.0,2015,Individual,1st owner,40000,73413.0,8
52,Royal Enfield Electra 5 S,90000.0,2010,Individual,2nd owner,40000,,8
53,Hero Splendor PRO,35000.0,2015,Individual,2nd owner,24000,49900.0,5
54,Honda Activa 5G,70000.0,2019,Individual,1st owner,3000,59422.0,1
55,Hero Honda Passion Plus,25000.0,2006,Individual,1st owner,75000,,15
56,Bajaj Pulsar 150,25000.0,2010,Individual,1st owner,42000,,9
57,Royal Enfield Bullet 350,90000.0,2014,Individual,1st owner,13000,,3
58,Bajaj Discover 125,25000.0,2013,Individual,1st owner,55000,57549.0,11
59,Bajaj Pulsar 150 [2001-2011],42000.0,2011,Individual,1st owner,23000,,5
60,Hero Splendor PRO,35000.0,2015,Individual,2nd owner,24000,51994.0,5
61,Hero Xtreme Sports,50000.0,2014,Individual,1st owner,80000,80350.0,16
62,Honda Activa 3G,30000.0,2015,Individual,1st owner,39000,54605.0,8
63,Yamaha FZ16,48000.0,2016,Individual,1st owner,20000,78712.0,4
64,Honda CB Hornet 160R,65000.0,2016,Individual,1st owner,30000,88161.0,6
65,Royal Enfield Thunderbird 350,85000.0,2013,Individual,1st owner,21000,,5
66,Hero Hunk,45000.0,2014,Individual,1st owner,41000,78513.0,9
67,Suzuki Let''s,34000.0,2014,Individual,1st owner,8000,50098.0,2
68,Royal Enfield Electra 4 S,90000.0,2008,Individual,1st owner,50000,,10
69,TVS Scooty Pep Plus,35000.0,2012,Individual,1st owner,8150,,2
70,Mahindra Mojo XT300,165000.0,2017,Individual,1st owner,1933,195500.0,1
71,TVS Apache RTR 160,35000.0,2013,Individual,1st owner,55750,,12
72,Bajaj Pulsar AS200,65000.0,2015,Individual,1st owner,15856,92074.0,4
73,Bajaj Pulsar 150,29500.0,2013,Individual,1st owner,27000,,6
74,Royal Enfield Thunderbird 350X,165000.0,2019,Individual,1st owner,3700,164004.0,1
75,Suzuki Intruder 150,95000.0,2018,Individual,1st owner,21938,,5
76,Hero Honda Karizma ZMR [2010],50000.0,2010,Individual,1st owner,48000,,10
77,Honda Dio,7500.0,2009,Individual,2nd owner,16000,,4
78,Bajaj Xcd,25000.0,2008,Individual,1st owner,54000,,11
79,Hero Splendor Plus,35000.0,2014,Individual,2nd owner,35000,,7
80,Royal Enfield Thunderbird 350X,160000.0,2018,Individual,1st owner,15000,,3
81,Honda CB Unicorn 150,50000.0,2014,Individual,1st owner,32000,74295.0,7
82,Honda Activa 5G,62000.0,2019,Individual,1st owner,3500,57557.0,1
83,Honda CB Twister,30000.0,2013,Individual,1st owner,9000,53857.0,2
84,Hero Splendor PRO,28000.0,2015,Individual,1st owner,38000,49642.0,8
85,Hero Honda CD Deluxe,25000.0,2009,Individual,1st owner,50000,,10
86,Honda Activa i [2016-2017],30000.0,2015,Individual,2nd owner,20000,51112.0,4
87,Royal Enfield Classic Gunmetal Grey,140000.0,2018,Individual,1st owner,22000,148114.0,5
88,TVS Scooty Zest 110,30000.0,2017,Individual,1st owner,9432,53751.0,2
89,Hero CD Deluxe,25000.0,2014,Individual,1st owner,70000,,14
90,Suzuki Access 125 [2007-2016],22000.0,2010,Individual,2nd owner,43000,58314.0,9
91,Honda Activa [2000-2015],22989.0,2012,Individual,1st owner,500000,50267.0,100
92,Honda Activa 125 [2016-2017],42000.0,2016,Individual,1st owner,30514,61653.0,7
93,Suzuki GS150R,30000.0,2010,Individual,1st owner,130000,70851.0,26
94,Bajaj Pulsar 220S,55000.0,2015,Individual,1st owner,45000,,9
95,Honda Activa 4G,45000.0,2018,Individual,1st owner,25000,53079.0,5
96,Yamaha FZ25,150000.0,2019,Individual,1st owner,2500,133680.0,1
97,Bajaj Pulsar 150,42000.0,2015,Individual,1st owner,22770,,5
98,Hero Splendor Plus,30000.0,2015,Individual,1st owner,30000,,6
99,Bajaj Discover 100,24999.0,2012,Individual,2nd owner,35000,42859.0,7
100,Royal Enfield Thunderbird 350X,160000.0,2019,Individual,1st owner,6330,,2
101,Royal Enfield Classic 350,175000.0,2020,Individual,1st owner,500,,1
102,Bajaj Pulsar 150,40000.0,2013,Individual,1st owner,43400,,9
103,Bajaj Pulsar NS160,85000.0,2018,Individual,1st owner,7004,,2
104,Royal Enfield Classic Desert Storm,150000.0,2017,Individual,1st owner,16500,181445.0,4
105,Suzuki Gixxer SF,80000.0,2018,Individual,1st owner,12500,,3
106,TVS Apache RTR 200 4V,95000.0,2018,Individual,1st owner,9600,,2
107,Bajaj V15,42000.0,2016,Individual,1st owner,35000,65626.0,7
108,TVS XL 100 Heavy Duty,40000.0,2019,Individual,1st owner,11000,,3
109,Yamaha FZ S V 2.0,50000.0,2015,Individual,1st owner,20000,84042.0,4
110,Hero HF Deluxe,40000.0,2018,Individual,1st owner,13000,,3
111,Aprilia SR 125,75000.0,2019,Individual,1st owner,3500,,1
112,Yamaha FZ25,120000.0,2017,Individual,1st owner,9000,132680.0,2
113,Hero Honda Glamour,30000.0,2008,Individual,1st owner,7500,,2
114,Bajaj Discover 125 ST,17500.0,2013,Individual,1st owner,38000,58438.0,8
115,Hero Honda Passion Plus,7500.0,2004,Individual,1st owner,120000,,24
116,Honda Aviator,57000.0,2018,Individual,1st owner,6465,61118.0,2
117,Vespa SXL 149,80000.0,2018,Individual,1st owner,18803,,4
118,TVS Scooty Pep Plus,18000.0,2010,Individual,1st owner,20000,,4
119,Hero Xtreme [2013-2014],25000.0,2013,Individual,1st owner,24000,75936.0,5
120,Royal Enfield Thunderbird 350,83900.0,2014,Individual,2nd owner,22000,,5
121,UM Renegade Commando,160000.0,2018,Individual,1st owner,7000,180525.0,2
122,Royal Enfield Classic Gunmetal Grey,135000.0,2018,Individual,1st owner,6100,148114.0,2
123,Honda CB Hornet 160R,55000.0,2017,Individual,1st owner,14000,87543.0,3
124,Honda Shine,50000.0,2017,Individual,1st owner,23000,,5
125,Bajaj Discover 100,20000.0,2012,Individual,1st owner,85000,42859.0,17
126,Hero Honda CBZ extreme,25000.0,2010,Individual,1st owner,40000,,8
127,Royal Enfield Classic 350,125000.0,2017,Individual,1st owner,18000,,4
128,Honda Activa 5G,55000.0,2019,Individual,1st owner,10000,57557.0,2
129,Bajaj Avenger Street 150 [2018],50000.0,2016,Individual,1st owner,40000,80435.0,8
130,Royal Enfield Continental GT 650,299000.0,2019,Individual,1st owner,1500,,1
131,Honda Activa 3G,60000.0,2015,Individual,1st owner,30000,54605.0,6
132,Honda Activa 3G,40000.0,2015,Individual,1st owner,3000,54605.0,1
133,Bajaj Pulsar 180,15000.0,2008,Individual,1st owner,55000,85011.0,11
134,Harley-Davidson Street Bob,750000.0,2013,Individual,2nd owner,12000,1278000.0,3
135,Hero Honda CBZ extreme,20000.0,2007,Individual,1st owner,90000,,18
136,Royal Enfield Classic Gunmetal Grey,190000.0,2020,Individual,1st owner,500,155740.0,1
137,KTM 390 Duke ABS [2013-2016],130000.0,2015,Individual,1st owner,50000,202127.0,10
138,Honda CB Hornet 160R,54786.0,2016,Individual,1st owner,25000,88161.0,5
139,KTM 200 Duke,72000.0,2013,Individual,1st owner,36500,,8
140,Hero Karizma 2014,35000.0,2013,Individual,1st owner,26000,86744.0,6
141,Hero Glamour 125,45000.0,2017,Individual,1st owner,18000,61600.0,4
142,Royal Enfield Classic 350,85000.0,2013,Individual,1st owner,49000,,10
143,Royal Enfield Classic 500,100000.0,2013,Individual,1st owner,18000,156304.0,4
144,Bajaj Dominar 400,138000.0,2017,Individual,1st owner,15000,,3
145,Royal Enfield Thunderbird 350X,150000.0,2018,Individual,1st owner,8500,,2
146,KTM RC 390,180000.0,2017,Individual,1st owner,3775,,1
147,Royal Enfield Thunderbird 350,100000.0,2015,Individual,1st owner,14500,,3
148,Hero Hunk,20000.0,2010,Individual,1st owner,35000,78513.0,7
149,KTM 390 Duke,170000.0,2017,Individual,1st owner,14000,,3
150,Suzuki Gixxer [2014-2018],60000.0,2016,Individual,1st owner,16000,84246.0,4
151,Royal Enfield Bullet 350,123000.0,2016,Individual,1st owner,7000,,2
152,Suzuki Access 125,60000.0,2017,Individual,1st owner,4000,,1
153,TVS Apache RTR 200 4V,100000.0,2017,Individual,1st owner,45000,,9
154,Hero Xtreme Sports,22000.0,2014,Individual,1st owner,99000,78350.0,20
155,Honda Activa [2000-2015],30000.0,2014,Individual,1st owner,52000,50267.0,11
156,Bajaj Discover 125,28000.0,2013,Individual,1st owner,45000,60122.0,9
157,Bajaj Pulsar 150,50000.0,2007,Individual,1st owner,52000,,11
158,Yamaha Saluto RX,40000.0,2017,Individual,1st owner,27000,49521.0,6
159,Hero HF Deluxe,43000.0,2018,Individual,1st owner,60000,,12
160,Suzuki Access 125,40000.0,2015,Individual,1st owner,2300,,1
161,Royal Enfield Classic Desert Storm,100000.0,2012,Individual,1st owner,15000,181445.0,3
162,Hero HF Deluxe,30000.0,2016,Individual,1st owner,50000,,10
163,KTM RC 200,130000.0,2017,Individual,1st owner,27000,,6
164,Honda CB Hornet 160R,48000.0,2016,Individual,2nd owner,25000,88161.0,5
165,Bajaj CT 100,32000.0,2017,Individual,1st owner,40000,,8
166,Hero Honda Pleasure,23000.0,2010,Individual,1st owner,32000,,7
167,Bajaj Pulsar 135 LS,20000.0,2010,Individual,2nd owner,50000,64589.0,10
168,Royal Enfield Classic 350,125000.0,2017,Individual,1st owner,36000,,8
169,Honda Navi [2016-2017],23000.0,2016,Individual,1st owner,17450,44389.0,4
170,Bajaj Discover 125,15000.0,2011,Individual,1st owner,32000,57549.0,7
171,Yamaha SZ RR V 2.0,35000.0,2015,Individual,1st owner,38000,69983.0,8
172,Bajaj Discover 150,25000.0,2014,Individual,2nd owner,71000,54299.0,15
173,Bajaj Pulsar 150,80000.0,2019,Individual,1st owner,8000,,2
174,TVS Flame,15000.0,2010,Individual,1st owner,12000,,3
175,Vespa VX 125,45000.0,2013,Individual,2nd owner,50000,72303.0,10
176,Yamaha SZ X,25000.0,2012,Individual,2nd owner,30000,65800.0,6
177,Honda CBF Stunner,35000.0,2013,Individual,1st owner,15888,58757.0,4
178,Bajaj Discover 100 T,25000.0,2013,Individual,1st owner,26000,47032.0,6
179,Royal Enfield Classic 350,170000.0,2018,Individual,1st owner,5600,,2
180,Honda Activa [2000-2015],25000.0,2014,Individual,1st owner,41000,50267.0,9
181,Royal Enfield Electra 5 S,60000.0,2007,Individual,2nd owner,19612,,4
182,Bajaj Pulsar 150,41000.0,2012,Individual,1st owner,17000,,4
183,Honda Shine,35000.0,2012,Individual,1st owner,33700,,7
184,Honda CB Unicorn 160,75000.0,2015,Individual,1st owner,100000,79233.0,20
185,Honda Activa 3G,47999.0,2016,Individual,1st owner,6000,54605.0,2
186,Honda Shine,36999.0,2011,Individual,1st owner,21000,,5
187,Bajaj Pulsar 180,25000.0,2007,Individual,1st owner,80000,85011.0,16
188,Suzuki Gixxer SF,60000.0,2016,Individual,1st owner,15000,,3
189,Honda CB Unicorn 150,50000.0,2007,Individual,1st owner,46000,74295.0,10
190,Yamaha YZF R15 [2011-2018],65000.0,2013,Individual,1st owner,11000,118997.0,3
191,TVS Sport,12000.0,2007,Individual,1st owner,72000,,15
192,Bajaj Pulsar AS200,60000.0,2015,Individual,1st owner,50000,92074.0,10
193,Honda Activa [2000-2015],20000.0,2010,Individual,1st owner,50000,50267.0,10
194,Yamaha FZ16,27000.0,2011,Individual,1st owner,67000,78712.0,14
195,Bajaj Boxer,10000.0,2000,Individual,1st owner,30000,,6
196,Hero Honda Hunk,56000.0,2015,Individual,1st owner,48000,,10
197,Hero Honda Hunk,58000.0,2015,Individual,1st owner,48000,,10
198,Bajaj Avenger Cruise 220,87000.0,2018,Individual,1st owner,8000,,2
199,Yamaha Ray Z,35000.0,2015,Individual,1st owner,15500,52949.0,4
200,Bajaj Pulsar 180,35000.0,2012,Individual,1st owner,45000,85011.0,9
201,Bajaj Discover 150F,40000.0,2014,Individual,2nd owner,60855,64071.0,13
202,Bajaj Pulsar 135 LS,56000.0,2017,Individual,3rd owner,37714,64589.0,8
203,Bajaj Pulsar 180,30000.0,2008,Individual,2nd owner,60000,85011.0,12
204,Honda Activa 125 [2016-2017],40000.0,2017,Individual,1st owner,26000,61545.0,6
205,Hero HF Deluxe,60000.0,2019,Individual,1st owner,6000,,2
206,Hero Karizma 2014,40000.0,2013,Individual,1st owner,30000,86744.0,6
207,Bajaj Platina 100,40000.0,2018,Individual,1st owner,17000,,4
208,Royal Enfield Bullet 500,130000.0,2015,Individual,1st owner,34601,168482.0,7
209,Bajaj Pulsar AS200,45000.0,2015,Individual,1st owner,48000,92074.0,10
210,Yamaha FZ S [2012-2016],42000.0,2013,Individual,1st owner,60000,79432.0,12
211,Bajaj Pulsar 220 Fi,25000.0,2012,Individual,1st owner,44000,,9
212,Bajaj Pulsar 150,15000.0,2006,Individual,1st owner,55000,,11
213,Bajaj Dominar 400 [2018],170000.0,2018,Individual,1st owner,16000,163331.0,4
214,Hero Passion X Pro [2016-2017],38000.0,2016,Individual,2nd owner,20000,59095.0,4
215,Yamaha FZ S V 2.0,60000.0,2015,Individual,2nd owner,17500,84042.0,4
216,TVS Apache RTR 160,65000.0,2017,Individual,1st owner,46000,,10
217,Bajaj Avenger [2015],35000.0,2011,Individual,1st owner,30000,75502.0,6
218,Bajaj Pulsar 150,70000.0,2019,Individual,1st owner,6500,,2
219,Hero Honda Glamour,15000.0,2006,Individual,1st owner,80000,,16
220,Hero Splendor iSmart,50000.0,2017,Individual,2nd owner,10000,52271.0,2
221,Royal Enfield Classic 350,145000.0,2017,Individual,1st owner,2200,,1
222,Yamaha FZ16,25000.0,2008,Individual,1st owner,40000,78712.0,8
223,Hero Xtreme Sports,58000.0,2016,Individual,1st owner,21000,80350.0,5
224,Royal Enfield Bullet 350 [2007-2011],90000.0,2007,Individual,1st owner,3500,,1
225,Hero Honda Passion,9000.0,2002,Individual,2nd owner,66191,,14
226,Bajaj Discover 150S,40000.0,2014,Individual,1st owner,50000,63331.0,10
227,TVS Scooty Zest 110,28000.0,2015,Individual,1st owner,32800,52372.0,7
228,Bajaj Avenger Street 150 [2018],50000.0,2016,Individual,1st owner,32000,80435.0,7
229,Yamaha Cygnus Ray ZR,56000.0,2019,Individual,1st owner,3900,58630.0,1
230,Honda Activa [2000-2015],35000.0,2014,Individual,1st owner,10000,50267.0,2
231,TVS Apache RTR 200 4V,95000.0,2018,Individual,1st owner,9600,,2
232,Honda Shine,30000.0,2010,Individual,1st owner,46782,,10
233,Honda CB Hornet 160R,95000.0,2019,Individual,1st owner,8000,94703.0,2
234,Honda Activa i [2016-2017],40000.0,2017,Individual,1st owner,11000,53436.0,3
235,Hero Karizma 2014,30000.0,2014,Individual,2nd owner,51000,86744.0,11
236,Bajaj Discover 100 T,18000.0,2013,Individual,1st owner,45000,47032.0,9
237,Honda Aviator,14000.0,2008,Individual,1st owner,66000,59183.0,14
238,Hero Splendor Plus,17000.0,2010,Individual,2nd owner,50000,,10
239,Royal Enfield Thunderbird 350,125000.0,2017,Individual,1st owner,23500,,5
240,Bajaj CT 110,20000.0,2015,Individual,1st owner,25000,,5
241,Hero Passion PRO i3s,50000.0,2017,Individual,1st owner,41000,56925.0,9
242,KTM RC 390,210000.0,2017,Individual,1st owner,12000,,3
243,Bajaj Pulsar 220F,70000.0,2018,Individual,1st owner,33000,,7
244,Hero Maestro Edge,40000.0,2017,Individual,1st owner,15000,55980.0,3
245,Bajaj Xcd,10000.0,2008,Individual,1st owner,50000,,10
246,Bajaj Pulsar 150,35000.0,2010,Individual,1st owner,40000,,8
247,TVS Centra,10000.0,2005,Individual,1st owner,50000,,10
248,Honda Activa 3G,42000.0,2015,Individual,1st owner,20000,54605.0,4
249,Yamaha FZ16,20000.0,2009,Individual,1st owner,50000,78712.0,10
250,Hero Maestro Edge,25000.0,2017,Individual,1st owner,55000,52790.0,11
251,Bajaj Discover 125,25000.0,2016,Individual,1st owner,70350,60122.0,15
252,Royal Enfield Thunderbird 350X,145000.0,2019,Individual,1st owner,2700,164004.0,1
253,Hero Super Splendor,50000.0,2016,Individual,1st owner,20000,,4
254,TVS Scooty Pep Plus,30000.0,2011,Individual,1st owner,20000,,4
255,Yamaha FZ V 2.0,60000.0,2014,Individual,1st owner,41311,81508.0,9
256,Hero Honda Splendor Plus,15000.0,2005,Individual,1st owner,65000,,13
257,Hero CD Deluxe,15000.0,2014,Individual,2nd owner,34000,,7
258,Hero Honda Passion PRO [2012],25000.0,2011,Individual,1st owner,20000,,4
259,Hero HF Deluxe i3s,54000.0,2019,Individual,1st owner,11000,,3
260,Bajaj Xcd,25000.0,2007,Individual,1st owner,75000,,15
261,Royal Enfield Interceptor 650,260000.0,2019,Individual,1st owner,1200,,1
262,Honda CBR-250R,100000.0,2014,Individual,1st owner,19000,199275.0,4
263,Bajaj Kristal,15000.0,2007,Individual,1st owner,30000,,6
